"1655","Knox Medical (Coming Soon)","Coming Soon","Houston","TX","77003","info@knoxmedical.com","888-441-5663","September 14th, 2017","7794_og1kl2pccwy.png","https://images.weedmaps.com/dispensaries/000/053/655/avatar/square_fill/1510583371-1505403334-Knox_Medical_Logo.png","29.7450330","-95.3632700","http:///knoxmedical/","http://twitter.com/@knoxmedical","http://instagram.com/knoxmedical",,"https://weedmaps.com/dispensaries/knox-medical-houston"
"1656","Knox Medical (Coming Soon)","Coming Soon","Dallas","TX","75207","info@knoxmedical.com","888-441-5663","September 14th, 2017","7797_hbtkhjv5sdy.png","https://images.weedmaps.com/dispensaries/000/053/657/avatar/square_fill/1510583318-1505403848-Knox_Medical_Logo.png","32.7673720","-96.8016760","http:///knoxmedical/","http://twitter.com/@knoxmedical","http://instagram.com/knoxmedical",,"https://weedmaps.com/dispensaries/knox-medical-dallas"
"1657","Knox Medical (Coming Soon)","Coming Soon","Austin","TX","78701","info@knoxmedical.com","888-441-5663","September 14th, 2017","7800_deka251et5k.png","https://images.weedmaps.com/dispensaries/000/053/660/avatar/square_fill/1510583318-1505407865-Knox_Medical_Logo.png","30.2736860","-97.7445850","http:///knoxmedical","http://twitter.com/@knoxmedical","http://instagram.com/knoxmedical",,"https://weedmaps.com/dispensaries/knox-medical-austin"
"1658","Knox Medical (Coming Soon)","Coming Soon","San Antonio","TX","78205","info@knoxmedical.com","888-441-5663","September 14th, 2017","7804_c2gyjx1ow0x.png","https://images.weedmaps.com/dispensaries/000/053/656/avatar/square_fill/1510583371-1505403635-Knox_Medical_Logo.png","29.4241020","-98.4946440","http:///knoxmedical/","http://twitter.com/@knoxmedical","http://instagram.com/knoxmedical",,"https://weedmaps.com/dispensaries/knox-medical-san-antonio"
"1659","Champlain Valley Dispensary - Vermont","One Steele St., Unit 124 \u0026amp; 125","Burlington","Vermont","05401","info@cvdvt.org","(844) 283-9333","February 20th, 2014","7807_vgmin0epvvs.jpg","https://images.weedmaps.com/dispensaries/000/030/294/avatar/square_fill/1510582443-CVDVT.jpg","44.4748200","-73.2194150","https://www.facebook.com/cvdvt/","https://twitter.com/cvdvt",,,"https://weedmaps.com/dispensaries/champlain-valley-dispensary-2"
"1660","Southern Vermont Wellness","1222 Putney Road","Brattleboro","Vermont","05303","info@svwvt.org","(844) 789-9333","February 20th, 2014","7810_laibioyyww4.jpg","https://images.weedmaps.com/dispensaries/000/030/292/avatar/square_fill/1510582442-CVDVT.jpg","42.8509348","-72.5578619","https://www.facebook.com/cvdvt/","https://twitter.com/cvdvt",,,"https://weedmaps.com/dispensaries/southern-vermont-wellness"
"1661","Vermont Patient Alliance","River St.","Montpelier","VT","05602","info@vtpatientsalliance.org","(802) 225-6786","April 26th, 2016","7782_givrppjltd0.jpg","https://images.weedmaps.com/dispensaries/000/047/302/avatar/square_fill/1510582957-Florida_Delivery.jpg","44.2600593","-72.5753869",,,,,"https://weedmaps.com/dispensaries/vermont-patient-alliance"
"1662","Herbal Legends Cannabis - Medical + Recreational 21+","2118 James Street","Bellingham","WA","98225","info@hlcannabis.com","360-778-3904","September 7th, 2011","7787_rv2ow4ua4up.jpg","https://images.weedmaps.com/dispensaries/000/013/852/avatar/square_fill/1510581952-hlcrevised2.jpg","48.7587070","-122.4644310",,"https://twitter.com/herballegends","http://instagram.com/herballegendsBham","Herbal Legends Cannabis is proud to be the oldest running cannabis Retailer in Northwest Washington.","https://weedmaps.com/dispensaries/healthy-living-cooperative"
"1663","Have a Heart - Greenwood","300 NW 85th St.","Seattle","WA","98117","haveaheartgreenwood@gmail.com","(206) 708-7443","April 8th, 2013","7795_2oihqeotjgb.png","https://images.weedmaps.com/dispensaries/000/023/591/avatar/square_fill/1510582180-Weedmaps-Shop-Logo-200x200.png","47.6908500","-122.3608700","https://www.facebook.com/Have-a-Heart-Greenwood-249247278554451/","https://twitter.com/HaveaHeartRec","http://instagram.com/haveaheart420",,"https://weedmaps.com/dispensaries/have-a-heart-cafe"
"1664","Sweet Green NW","19943 Old Hwy 99 SW","Rochester","WA","98579","sweetgreensnw@gmail.com","360 858 7630","May 28th, 2015","7798_013fhzlob0f.jpg","https://images.weedmaps.com/dispensaries/000/043/522/avatar/square_fill/1510582821-sweet_greens_nw__copy.jpeg","46.7980300","-123.0120960","https://www.facebook.com/SweetGreens1/",,"https://instagram.com/sweetgreensnw/","Sweet Greens NW is now certified to accept medical marijuana cards and register patient on the state database. -We are now offering WAX deals all week..pick three top shelf grams for $90-100 (depending on price before discount)","https://weedmaps.com/dispensaries/sweet-green-nw"
